"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
168610896491236_1924099584275683,https://www.facebook.com/manudglom/posts/1924099584275683,ม่ายยยยยยยยยยยยย,Photo,,,"05/14/2018 05:33:44 AM"," ",11726,11726,0,17178,17178,0,1666,1247,1626,0,0,11106,7539,0,0,1424,0,0,0,0,0,0,0,0,0,0,38,628,28,41,649,45,,950,17,493,,1112,17,497,,,,
168610896491236_1919053538113621,https://www.facebook.com/manudglom/posts/1919053538113621,"คุณๆที่ไม่เคยไปงานสินค้าแม่และเด็ก
บอกเลยว่าน่ากลัวกว่าสัปดาห์หนังสืออีกกก",Link,,,"05/09/2018 04:12:30 AM"," ",13240,13240,0,18868,18868,0,2158,1990,2790,3,3,17245,12057,0,0,2079,0,0,0,0,0,0,0,0,0,0,14,451,43,14,458,77,,737,1791,,,923,1867,,1,2,1,2
168610896491236_1916980731654235,https://www.facebook.com/manudglom/posts/1916980731654235,"นิดโดร่า จากมนุดกลมเล่ม 2 ทัวร์โตเกียวฯ ส่งข่าวว่า
#ยินดีด้วยหนังสืออยู่ในกองหนังสือเลหลังแล้ว

ใครยังหาเล่มแรกไม่ได้ก็ไปส่องกันดูนะครับ 555+",Photo,,,"05/06/2018 10:46:22 PM"," ",8523,8523,0,11334,11334,0,890,778,985,1,1,10700,8068,0,0,854,0,0,0,0,0,0,0,0,0,0,2,175,24,2,181,31,,713,9,133,,843,9,133,,1,,1
168610896491236_1908780649140910,https://www.facebook.com/manudglom/posts/1908780649140910,"มนุดกลม updated their status.",Status,,,"04/28/2018 08:06:13 PM"," ",3299,3299,0,4932,4932,0,124,91,106,1,1,4647,3136,0,0,122,0,0,0,0,0,0,0,0,0,0,,38,,,38,,,87,4,,,102,4,,,1,,1
168610896491236_1907875072564801,https://www.facebook.com/manudglom/posts/1907875072564801,"แม้พ่อแม่ลูกอ่อนจะไม่มีเวลาไปดูหนัง
แต่อย่าง A Quiet Place นี่ที่บ้านก็มีดูนะ",Link,,,"04/27/2018 10:20:41 PM"," ",10770,10770,0,15588,15588,0,1339,1191,1538,0,0,14498,10019,0,0,1314,0,0,0,0,0,0,0,0,0,0,7,273,13,7,284,25,,378,1029,,,491,1047,,,,,
168610896491236_1893713630647612,https://www.facebook.com/manudglom/posts/1893713630647612,;_;,Photo,,,"04/14/2018 12:29:40 AM"," ",55269,55269,0,81268,81268,0,5268,3732,5567,3,3,23824,15128,0,0,2753,0,0,0,0,0,0,0,0,0,0,157,2307,159,158,2349,280,,3010,18,1243,,4209,19,1339,2,1,2,1
168610896491236_1890837454268563,https://www.facebook.com/manudglom/posts/1890837454268563:0,บุพเพฯตอนจบเล่นเอาขวดนมในมือผมสั่น,Photo,,,"04/11/2018 08:59:51 AM"," ",13249,13249,0,19186,19186,0,2328,2077,2728,0,0,17524,12022,0,0,2267,0,0,0,0,0,0,0,0,0,0,10,521,31,10,526,53,,1768,4,584,,2111,4,613,,,,
168610896491236_1884101361608839,https://www.facebook.com/manudglom/posts/1884101361608839,พัฒนาการลูกไงล่ะ,Photo,,,"04/05/2018 04:00:24 AM"," ",21061,21061,0,31146,31146,0,4227,3840,6285,1,1,22386,14652,0,0,3612,0,0,0,0,0,0,0,0,0,0,35,835,104,35,845,179,,2507,3,2580,,3541,3,2741,,1,,1
168610896491236_1879575202061455,https://www.facebook.com/manudglom/posts/1879575202061455,ผู้นำสังคมไร้เงินสดที่แท้ทรู,Photo,,,"04/01/2018 03:00:00 AM"," ",8976,8976,0,12804,12804,0,1147,945,1219,0,0,12240,8662,0,0,1124,0,0,0,0,0,0,0,0,0,0,2,336,7,2,347,12,,703,4,420,,787,4,428,,,,
168610896491236_1873707169314925,https://www.facebook.com/manudglom/posts/1873707169314925,"พาลูกไปหาหมอมาล่าสุด แทบช็อค",Photo,,,"03/27/2018 04:00:39 AM"," ",20888,20888,0,34499,34499,0,8587,8468,11308,2,2,27083,16250,0,0,7727,0,0,0,0,0,0,0,0,0,0,28,879,43,29,883,66,,2398,10,8247,,2833,11,8464,,2,,2
168610896491236_1858791017473207,https://www.facebook.com/manudglom/posts/1858791017473207,"หากท่านรู้สึกว่าเกมที่ท่านเล่นไม่ท้าทาย
ขอแนะนำเกมใหม่ &quot;กล่อมลูกนอน&quot;
รับรองว่าสนุก",Link,,,"03/14/2018 04:00:50 AM"," ",20437,20437,0,31336,31336,0,2507,2170,3010,0,0,25079,16855,0,0,2252,0,0,0,0,0,0,0,0,0,0,37,683,98,37,715,156,,904,1746,,,1172,1838,,,,,
