"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
168610896491236_2180961355256170,https://www.facebook.com/manudglom/posts/2180961355256170,แหม้,Photo,,,"11/08/2018 11:09:55 PM"," ",11649,11649,0,17246,17246,0,2196,2046,3141,1,1,16863,11499,0,0,2172,0,0,0,0,0,0,0,0,0,0,,323,17,32,323,17,1811,672,,2415,726,,,1,,1
168610896491236_2165454676806838,https://www.facebook.com/manudglom/posts/2165454676806838,ของเล่นให้ลูกก็อย่าขาดตกบกพร่อง,Photo,,,"10/30/2018 10:01:29 PM"," ",34157,34157,0,52348,52348,0,3913,3365,4629,1,1,17077,11381,0,0,1980,0,0,0,0,0,0,0,0,0,0,100,939,106,105,989,204,2580,1242,11,3349,1268,12,1,,1,
168610896491236_2139946436024329,https://www.facebook.com/manudglom/posts/2139946436024329,ตอนนี่ผมสาธิตการทำโทษลูกอย่างละมุน,Photo,,,"10/12/2018 04:30:17 AM"," ",15408,15408,0,22704,22704,0,3036,2819,3833,0,0,20312,13776,0,0,2900,0,0,0,0,0,0,0,0,0,0,15,517,33,15,531,64,1980,1374,,2423,1410,,,,,
168610896491236_2125291297489843,https://www.facebook.com/manudglom/posts/2125291297489843,"เขียนรีวิวแบบยาวๆบ้าง
พาคุณภรรยาตอนท้อง 3 เดือนไปเที่ยวญี่ปุ่นมาปีที่แล้ว
เราจะมารีวิวให้ฟังว่าเตรียมตัวยังไง เจออะไรบ้าง
นี่ตอนแรกนะ มันยาวววววววว",Link,,,"10/02/2018 04:30:00 AM"," ",11600,11600,0,16656,16656,0,1499,1380,1803,0,0,14583,10216,0,0,1400,0,0,0,0,0,0,0,0,0,0,11,239,20,11,252,40,481,,1155,589,,1214,,,,
168610896491236_2111868022165504,https://www.facebook.com/manudglom/posts/2111868022165504,มาช้ายังดีกว่าไม่มา,Photo,,,"09/21/2018 04:30:34 AM"," ",9396,9396,0,13360,13360,0,1071,857,1143,2,2,11785,8304,0,0,1019,0,0,0,0,0,0,0,0,0,0,9,320,29,9,333,59,601,408,,717,426,,1,1,1,1
168610896491236_2098878776797762,https://www.facebook.com/manudglom/posts/2098878776797762,"ออกจากบ้านเช้าขึ้นแค่ 15 นาที
ถึงออฟฟิศเร็วขึ้น 1 ชั่วโมง
#นนทบุเรี่ยนเท่านั้นที่เข้าใจ",Status,,,"09/09/2018 04:39:15 PM"," ",5771,5771,0,8714,8714,0,873,709,808,1,1,8012,5275,0,0,819,0,0,0,0,0,0,0,0,0,0,3,263,20,3,281,48,709,,,808,,,1,,1,
168610896491236_2090698724282434,https://www.facebook.com/manudglom/posts/2090698724282434,ฝนตกขนาดนี้ใจร้ายยยยย,Status,,,"09/03/2018 03:49:21 AM"," ",3192,3192,0,4806,4806,0,169,117,126,0,0,4509,2963,0,0,166,0,0,0,0,0,0,0,0,0,0,,67,7,,69,19,116,,1,125,,1,,,,
168610896491236_2088258847859755,https://www.facebook.com/manudglom/posts/2088258847859755,"มดดำขึ้นเต็มบ้านต้องทำยังไง?

มุกสุดท้ายประจำอาทิตย์
พร้อมรวมมิตรทุกมุกในสัปดาห์

https://manudglom.com/node/205",Link,,,"09/01/2018 04:42:15 AM"," ",7754,6717,1982,12125,9838,2287,1178,1095,1388,0,0,11586,7331,2287,1982,1143,0,0,0,0,0,0,0,0,0,0,3,169,14,3,169,30,320,,920,405,,961,,,,
168610896491236_2085618521457121,https://www.facebook.com/manudglom/posts/2085618521457121,บาทสองบาทแบบอยู่เป็น,Photo,,,"08/30/2018 05:13:39 AM"," ",11071,11071,0,16434,16516,0,2261,1990,2715,0,0,14244,9750,0,0,2096,0,0,0,0,0,0,0,0,0,0,11,522,59,11,527,125,1634,639,2,2070,643,2,,,,
168610896491236_2084311318254508,https://www.facebook.com/manudglom/posts/2084311318254508,บาทสองบาทแบบคิดสั้น,Photo,,,"08/29/2018 05:00:30 AM"," ",9149,9149,0,13091,13091,0,1507,1280,1753,0,0,11142,7822,0,0,1412,0,0,0,0,0,0,0,0,0,0,13,356,31,13,358,72,996,455,4,1272,477,4,,,,
168610896491236_2083114785040828,https://www.facebook.com/manudglom/posts/2083114785040828,วันละบาทสองบาท,Photo,,,"08/28/2018 04:47:19 AM"," ",11608,11608,0,18068,18068,0,1842,1552,2084,1,1,16000,10296,0,0,1737,0,0,0,0,0,0,0,0,0,0,11,499,46,11,500,112,1164,619,6,1407,671,6,1,,1,
168610896491236_2081851141833859,https://www.facebook.com/manudglom/posts/2081851141833859,สามบาทห้าบาท,Photo,,,"08/27/2018 04:46:45 AM"," ",12299,12299,0,19621,19621,0,2738,2570,3872,0,0,16059,10196,0,0,2497,0,0,0,0,0,0,0,0,0,0,18,457,46,18,461,100,940,2360,3,1345,2524,3,,,,
168610896491236_2057737770911863,https://www.facebook.com/manudglom/posts/2057737770911863,"ควันหลงวันแม่ มนุดกลมขอเป็นกำลังให้คุณแม่มือใหม่ที่กำลังฝ่าฟันหน้าที่รับผิดชอบใหม่ ตอนนี้เลยมาเล่าวิธีที่กบน้อยใช้แก้เครียดให้ฟัง",Link,,,"08/14/2018 04:00:01 AM"," ",19767,18339,1531,30104,28452,1652,1661,1398,1891,0,0,15639,9631,461,381,1266,0,0,0,0,0,0,0,0,0,0,19,423,28,19,444,56,488,3,1234,609,3,1271,,,,
168610896491236_2046960315322942,https://www.facebook.com/manudglom/posts/2046960315322942,"รีวิวของเล่นหลอกเด็ก
โดยคุณพ่อคุณลูกตัวจริง",Link,,,"08/07/2018 03:35:44 AM"," ",9971,8872,1575,15661,13963,1698,1364,1258,1618,0,0,13834,8441,786,719,1301,0,0,0,0,0,0,0,0,0,0,4,251,20,4,251,37,292,1,1182,376,1,1240,,,,
168610896491236_2045353038817003,https://www.facebook.com/manudglom/posts/2045353038817003,"ใครไม่มีงานด่วน
รีบหนีไปปปปปป",Photo,,,"08/06/2018 03:48:52 AM"," ",9168,7739,1550,12230,10621,1609,751,504,656,0,0,9860,7061,208,203,675,0,0,0,0,0,0,0,0,0,0,7,341,19,7,341,45,368,194,6,448,202,6,,,,
